product_id,product_name,brand,category_l1,category_l2,category_l3,created_at,gender_target,is_active,launch_date,material,price_range,season,sustainability_score,care_instructions
P000041,Enhanced composite data-warehouse Bottoms,Style Studio,Bottoms,Yoga,,2025-06-15 23:05:46,Women,False,2024-02-22,Denim,$30-50,Summer,83,Machine wash cold
P000042,De-engineered 6thgeneration interface Running,Vintage Vibe 3,Running,Womens Clothing,,2023-11-26 21:11:28,Women,True,2025-03-09,Cotton,$50-100,All Season,19,Dry clean only
P000043,Optional dedicated product Footwear,Elite Edge,Footwear,Activewear,,2024-01-19 20:56:47,Unisex,True,2025-07-04,Linen,$50-100,Fall,21,Machine wash cold
P000044,Right-sized empowering functionalities Tops,Vintage Vibe 3,Tops,,Womens Clothing,2025-09-03 10:55:20,Men,False,2025-04-12,Modal,$100-150,Winter,50,Dry clean only
P000045,Cloned background info-mediaries Activewear,Classic Craft,Activewear,Running,Yoga,2024-12-02 03:40:35,Women,True,2024-07-30,Modal,$150-200,Spring,72,Machine wash cold
P000046,Reactive fresh-thinking focus group Formal,Coastal Chic 2,Formal,Accessories,Running,2024-11-03 15:59:09,Unisex,True,2024-09-15,Cashmere,$30-50,Winter,13,Machine wash warm
P000047,Advanced zero tolerance standardization Running,Metro Style 2,Running,,,2025-01-22 22:56:15,Men,True,2024-12-25,Wool,$50-100,All Season,83,Hand wash
P000048,Programmable zero tolerance instruction set Formal,Mode Moderne 2,Formal,,,2023-12-23 09:47:57,Women,True,2024-08-12,Modal,$30-50,Fall,41,Dry clean only
P000049,Distributed client-server open system Pants,Modern Muse,Pants,,Footwear,2024-12-26 16:10:57,Men,True,2024-12-21,Cashmere,$50-100,Fall,3,Machine wash warm
P000050,Virtual bandwidth-monitored benchmark Tops,Bella Vista 2,Tops,Accessories,,2024-12-07 01:28:53,Women,True,2025-05-23,Modal,$30-50,Fall,71,Machine wash cold
P000051,Cross-platform zero tolerance forecast Mens Clothing,Street Smart 2,Mens Clothing,Yoga,,2025-07-31 19:12:25,Unisex,True,2024-11-15,Silk,$30-50,Winter,82,Machine wash warm
P000052,Monitored incremental firmware Womens Clothing,Elite Edge 2,Womens Clothing,Mens Clothing,,2024-07-20 12:44:38,Women,True,2025-02-15,Modal,$50-100,Fall,60,Hand wash
P000053,Pre-emptive object-oriented portal Yoga,City Casual 2,Yoga,Accessories,,2024-09-28 10:31:27,Unisex,True,2023-10-25,Linen,$30-50,Summer,15,Dry clean only
P000054,Enhanced even-keeled initiative Bottoms,Bella Vista 2,Bottoms,,,2024-01-16 17:54:15,Men,True,2025-01-18,Silk,$100-150,Summer,94,Machine wash warm
P000055,Robust systemic solution Yoga,Fashion Forward,Yoga,Formal,,2024-08-04 00:53:52,Women,False,2023-10-26,Silk,$100-150,Fall,29,Hand wash
P000056,Object-based full-range solution Pants,Bold Basics,Pants,Formal,Womens Clothing,2024-03-29 13:05:42,Women,False,2023-11-03,Viscose,$50-100,Fall,89,Dry clean only
P000057,User-friendly methodical flexibility Footwear,Bella Vista 3,Footwear,Womens Clothing,,2025-08-23 18:10:21,Men,True,2024-07-11,Leather,$50-100,Fall,23,Machine wash cold
P000058,Ameliorated global utilization Footwear,Style Studio,Footwear,Bottoms,,2024-05-19 09:38:59,Women,True,2024-05-24,Cotton,$100-150,Summer,19,Hand wash
P000059,Grass-roots mobile standardization Mens Clothing,Modern Muse,Mens Clothing,Jewelry,,2025-03-11 22:51:47,Women,True,2023-12-11,Silk,$30-50,All Season,48,Machine wash warm
P000060,Focused client-driven framework Pants,Elite Edge 2,Pants,,,2025-04-26 16:18:34,Women,True,2024-09-04,Modal,$50-100,Spring,78,Machine wash cold
P000061,Vision-oriented fresh-thinking flexibility Mens Clothing,Elite Edge 3,Mens Clothing,Pants,,2025-04-15 02:06:06,Men,True,2024-08-14,Wool,$30-50,All Season,9,Dry clean only
P000062,Robust secondary array Jewelry,Bella Vista,Jewelry,Activewear,,2024-02-19 23:40:16,Men,True,2024-09-03,Linen,$30-50,Fall,89,Machine wash warm
P000063,Extended incremental support Running,Classic Craft,Running,Pants,,2024-10-07 07:17:28,Men,True,2025-05-07,Silk,$30-50,Winter,14,Dry clean only
P000064,Programmable holistic approach Tops,Urban Thread 3,Tops,,,2024-10-31 05:37:10,Men,True,2025-06-01,Wool,$50-100,Fall,76,Hand wash
P000065,Diverse asymmetric function Bottoms,Elite Edge 2,Bottoms,Pants,,2025-03-31 03:37:42,Unisex,False,2024-10-23,Viscose,$30-50,All Season,63,Machine wash warm
P000066,Open-architected client-driven time-frame Activewear,Modern Muse,Activewear,Jewelry,,2025-07-19 05:35:29,Women,True,2024-11-06,Cotton,$30-50,Spring,29,Machine wash cold
P000067,Re-contextualized 4thgeneration conglomeration Running,Elite Edge 3,Running,,,2024-02-23 17:40:01,Unisex,True,2025-08-05,Wool,$100-150,Winter,66,Machine wash warm
P000068,Exclusive analyzing encryption Tops,Fashion Forward,Tops,,,2023-10-22 16:47:06,Women,True,2024-09-14,Polyester,$50-100,Winter,44,Machine wash warm
P000069,Business-focused high-level strategy Accessories,Urban Thread 2,Accessories,Tops,,2024-02-28 15:58:16,Unisex,True,2024-04-25,Linen,$50-100,Winter,97,Machine wash cold
P000070,Multi-layered maximized middleware Bottoms,Vintage Vibe 2,Bottoms,Accessories,Jewelry,2024-07-31 07:50:11,Men,True,2025-01-31,Cotton,$30-50,All Season,59,Machine wash warm
P000071,Decentralized systemic algorithm Mens Clothing,Metro Style,Mens Clothing,Activewear,,2024-04-01 22:20:56,Women,True,2024-07-11,Cotton,$100-150,Summer,34,Dry clean only
P000072,Pre-emptive radical knowledge user Footwear,Chic Collection,Footwear,,,2024-02-11 22:41:45,Unisex,True,2025-08-02,Modal,$50-100,Summer,90,Dry clean only
P000073,Phased optimizing neural-net Formal,Mode Moderne,Formal,Jewelry,Bottoms,2024-06-24 16:17:35,Women,True,2024-06-19,Polyester,$50-100,Summer,63,Hand wash
P000074,Diverse empowering synergy Yoga,Luxe Label 2,Yoga,Footwear,,2025-07-03 08:50:21,Men,True,2025-03-14,Viscose,$100-150,Summer,49,Dry clean only
P000075,Cross-group executive algorithm Formal,Chic Collection 2,Formal,,Bottoms,2024-07-23 06:24:09,Unisex,True,2023-11-03,Cashmere,$100-150,Fall,100,Hand wash
P000076,Diverse object-oriented time-frame Pants,Bella Vista,Pants,,,2024-03-11 11:29:02,Men,True,2025-07-22,Leather,$30-50,Summer,57,Machine wash warm
P000077,Face-to-face secondary definition Accessories,Coastal Chic 2,Accessories,Formal,,2025-03-06 09:27:04,Women,False,2024-03-04,Silk,$100-150,Summer,73,Machine wash warm
P000078,Future-proofed solution-oriented installation Jewelry,Pure Elegance,Jewelry,Yoga,,2024-10-29 16:33:06,Men,False,2023-10-11,Cashmere,$30-50,Winter,84,Dry clean only
P000079,Vision-oriented zero administration software Womens Clothing,Bold Basics 2,Womens Clothing,Activewear,,2023-10-03 22:09:59,Women,True,2024-09-28,Leather,$50-100,Spring,67,Machine wash warm
P000080,De-engineered secondary conglomeration Yoga,Bella Vista,Yoga,Running,,2025-01-05 22:23:39,Women,True,2025-06-09,Linen,$30-50,Fall,79,Machine wash warm
P000081,Advanced directional extranet Bottoms,Urban Thread 3,Bottoms,,,2025-01-11 12:38:52,Men,True,2025-06-12,Cashmere,$50-100,Fall,80,Machine wash warm
P000082,Integrated transitional strategy Womens Clothing,Pure Elegance 2,Womens Clothing,Mens Clothing,,2025-02-07 05:50:38,Men,False,2024-04-26,Silk,$30-50,Spring,55,Machine wash cold
P000083,Optimized homogeneous hardware Running,Elite Edge 3,Running,,Tops,2024-09-17 12:38:21,Men,True,2024-04-08,Cotton,$30-50,Spring,41,Machine wash cold
P000084,Extended maximized framework Accessories,Chic Collection,Accessories,Tops,Jewelry,2025-03-06 00:08:50,Women,True,2024-11-03,Wool,$100-150,Summer,22,Machine wash cold
P000085,Secured hybrid paradigm Jewelry,Mode Moderne 2,Jewelry,Mens Clothing,,2023-12-15 11:31:55,Men,True,2023-10-01,Silk,$100-150,Winter,81,Hand wash
P000086,Profound stable hub Pants,Vintage Vibe 2,Pants,Footwear,,2024-12-06 02:36:55,Men,True,2025-02-09,Wool,$50-100,Spring,56,Hand wash
P000087,Right-sized real-time forecast Pants,Fashion Forward 2,Pants,Jewelry,,2024-05-15 20:17:26,Women,True,2025-03-10,Linen,$50-100,Summer,49,Machine wash warm
P000088,Customer-focused mission-critical architecture Mens Clothing,Sunset Styles,Mens Clothing,Accessories,,2024-06-14 05:04:39,Women,False,2024-04-27,Linen,$30-50,Spring,84,Machine wash warm
P000089,Sharable fresh-thinking focus group Womens Clothing,Fashion Forward,Womens Clothing,Running,,2024-04-16 20:25:38,Unisex,False,2025-02-16,Modal,$50-100,Winter,36,Dry clean only
P000090,Universal solution-oriented framework Accessories,Chic Collection 2,Accessories,Mens Clothing,,2024-02-20 07:34:57,Unisex,True,2024-01-20,Wool,$50-100,Spring,80,Machine wash cold
P000091,Programmable well-modulated encoding Footwear,Mode Moderne,Footwear,Accessories,,2025-08-25 19:40:41,Men,True,2023-11-09,Linen,$50-100,Fall,95,Machine wash warm
P000092,Right-sized impactful protocol Mens Clothing,Bold Basics,Mens Clothing,Formal,,2024-06-01 05:48:21,Men,True,2025-03-07,Viscose,$50-100,Fall,21,Hand wash
P000093,Devolved uniform algorithm Pants,Fresh Fashion 2,Pants,,,2025-02-17 01:50:53,Women,True,2024-10-16,Polyester,$100-150,Summer,96,Dry clean only
P000094,Implemented empowering instruction set Yoga,Metro Style 3,Yoga,Jewelry,,2024-08-06 06:33:58,Women,True,2024-07-23,Denim,$30-50,Spring,50,Machine wash cold
P000095,User-centric 5thgeneration paradigm Formal,Style Studio,Formal,Accessories,,2025-03-29 23:39:29,Men,True,2024-12-13,Modal,$30-50,Winter,81,Hand wash
P000096,Ergonomic global success Running,Sunset Styles,Running,Womens Clothing,,2025-04-03 02:27:48,Unisex,False,2024-03-16,Denim,$150-200,All Season,28,Machine wash cold
P000097,Synergized national productivity Footwear,Bella Vista 3,Footwear,,,2025-05-28 15:50:15,Unisex,True,2024-09-29,Wool,$50-100,Spring,4,Hand wash
P000098,Synchronized heuristic middleware Bottoms,Bold Basics 2,Bottoms,Formal,Footwear,2024-05-17 04:19:59,Women,True,2025-07-13,Viscose,$150-200,Winter,75,Dry clean only
P000099,Down-sized stable open architecture Running,Sunset Styles 2,Running,Footwear,,2024-02-14 16:54:47,Women,False,2024-05-11,Linen,$150-200,Spring,88,Hand wash
P000100,Cross-platform methodical capacity Footwear,Street Smart,Footwear,Mens Clothing,,2025-04-24 12:01:31,Unisex,True,2024-04-13,Denim,$100-150,All Season,82,Hand wash
P000101,Up-sized next generation task-force Jewelry,Metro Style,Jewelry,Bottoms,,2025-09-04 20:51:17,Women,True,2024-02-15,Polyester,$50-100,Summer,82,Machine wash cold
P000102,Synergized full-range projection Accessories,Metro Style,Accessories,Tops,,2023-12-05 08:57:55,Unisex,True,2024-03-16,Viscose,$50-100,Summer,75,Dry clean only
P000103,Multi-channeled directional synergy Accessories,Pure Elegance,Accessories,,,2025-08-03 20:58:13,Women,True,2024-05-21,Linen,$50-100,Summer,16,Hand wash
P000104,Operative zero tolerance groupware Bottoms,Bold Basics,Bottoms,Womens Clothing,Accessories,2024-07-11 16:57:31,Unisex,True,2024-04-15,Silk,$50-100,All Season,41,Machine wash cold
P000105,Reduced explicit Local Area Network Pants,Bold Basics,Pants,Yoga,,2025-07-19 04:04:23,Men,True,2023-12-26,Polyester,$30-50,Winter,57,Hand wash
P000106,Phased actuating productivity Activewear,Luxe Label 2,Activewear,Formal,Activewear,2024-12-23 06:54:55,Men,True,2024-12-19,Viscose,$150-200,Fall,58,Machine wash cold
P000107,Secured asynchronous leverage Footwear,Metro Style,Footwear,,,2025-08-17 20:23:58,Women,True,2024-02-24,Leather,$50-100,Spring,10,Hand wash
P000108,Profit-focused bottom-line software Tops,Chic Collection 2,Tops,Pants,,2024-07-19 11:07:33,Unisex,True,2024-11-10,Denim,$100-150,Winter,76,Hand wash
P000109,Innovative incremental application Formal,Vintage Vibe 2,Formal,Bottoms,,2025-08-03 10:06:02,Men,True,2025-07-20,Viscose,$100-150,Summer,55,Machine wash warm
P000110,Distributed client-driven customer loyalty Jewelry,Pure Elegance,Jewelry,Footwear,,2024-06-19 04:07:32,Women,True,2024-08-08,Denim,$30-50,Winter,40,Hand wash
P000111,Re-contextualized logistical circuit Tops,Metro Style 2,Tops,Footwear,Bottoms,2024-05-29 18:06:40,Unisex,True,2025-07-26,Polyester,$100-150,Fall,16,Machine wash cold
P000112,Universal contextually-based time-frame Formal,Fashion Forward 2,Formal,Running,Accessories,2023-11-28 18:43:51,Unisex,True,2024-10-08,Cashmere,$150-200,Spring,36,Hand wash
P000113,Managed responsive conglomeration Bottoms,Coastal Chic 2,Bottoms,Mens Clothing,Footwear,2024-05-27 10:45:28,Men,True,2025-01-30,Polyester,$50-100,Fall,71,Hand wash
P000114,Centralized 24hour knowledge user Pants,City Casual,Pants,Jewelry,,2024-04-26 11:13:30,Men,False,2024-03-06,Modal,$50-100,All Season,86,Machine wash cold
P000115,Virtual zero-defect concept Running,Chic Collection 2,Running,,Tops,2024-12-17 14:54:49,Men,True,2025-05-11,Linen,$100-150,Fall,44,Machine wash cold
P000116,Diverse mobile toolset Tops,Bold Basics,Tops,Jewelry,Yoga,2025-05-12 02:15:25,Unisex,True,2025-05-23,Cotton,$50-100,Spring,95,Dry clean only
P000117,Cross-group clear-thinking pricing structure Jewelry,Classic Craft 2,Jewelry,Tops,,2024-08-28 21:15:46,Women,True,2025-01-30,Modal,$30-50,All Season,10,Machine wash cold
P000118,Optimized impactful interface Tops,Vintage Vibe,Tops,,Bottoms,2024-10-01 19:40:56,Men,True,2024-07-19,Cashmere,$30-50,Winter,77,Machine wash warm
P000119,Adaptive 5thgeneration monitoring Pants,Sunset Styles 2,Pants,Formal,Jewelry,2024-02-28 21:38:49,Men,True,2025-04-15,Modal,$50-100,Winter,67,Hand wash
P000120,Multi-layered 24/7 Graphic Interface Mens Clothing,Coastal Chic,Mens Clothing,Activewear,Mens Clothing,2025-05-06 20:57:37,Women,True,2025-07-04,Silk,$50-100,Summer,97,Hand wash
P000121,Progressive content-based adapter Accessories,Chic Collection,Accessories,Footwear,,2025-03-05 15:47:45,Women,True,2023-09-29,Cashmere,$30-50,All Season,90,Dry clean only
P000122,Self-enabling upward-trending encryption Formal,Luxe Label 2,Formal,,,2024-03-20 18:11:40,Unisex,True,2025-03-17,Cotton,$50-100,Winter,2,Machine wash warm
P000123,Monitored fault-tolerant capacity Accessories,Classic Craft,Accessories,Activewear,,2023-12-15 18:54:58,Women,True,2024-07-19,Linen,$50-100,Spring,51,Machine wash cold
P000124,Profit-focused optimizing function Tops,Bella Vista 2,Tops,,,2024-02-03 17:46:41,Men,True,2023-11-15,Denim,$30-50,Spring,55,Machine wash cold
P000125,Balanced exuding frame Jewelry,Trend Tribe,Jewelry,Formal,Pants,2024-09-15 03:22:42,Men,True,2025-04-13,Silk,$30-50,Fall,99,Dry clean only
P000126,Programmable radical moderator Formal,Classic Craft,Formal,Formal,,2024-06-15 09:59:59,Women,False,2024-08-27,Denim,$50-100,Fall,93,Dry clean only
P000127,Synergized client-driven Graphical User Interface Bottoms,Trend Tribe,Bottoms,Mens Clothing,Tops,2025-08-27 03:18:27,Men,True,2024-10-10,Polyester,$50-100,Summer,98,Machine wash warm
P000128,Multi-channeled web-enabled core Activewear,Vintage Vibe 2,Activewear,,,2024-02-02 01:56:50,Men,False,2025-08-30,Modal,$150-200,All Season,41,Hand wash
P000129,Open-architected 3rdgeneration emulation Footwear,Vintage Vibe,Footwear,Footwear,,2024-03-19 05:56:57,Men,True,2025-04-12,Modal,$50-100,Spring,45,Machine wash cold
P000130,De-engineered didactic superstructure Footwear,Mode Moderne,Footwear,Womens Clothing,,2023-10-14 00:47:20,Men,True,2024-12-27,Polyester,$30-50,All Season,76,Machine wash warm
P000131,Profit-focused composite capability Activewear,Vintage Vibe 2,Activewear,Yoga,,2024-07-07 18:03:21,Women,True,2025-03-31,Modal,$30-50,Summer,41,Machine wash warm
P000132,Streamlined 5thgeneration implementation Tops,Luxe Label 2,Tops,,,2025-08-07 20:15:47,Women,True,2025-02-04,Denim,$150-200,Spring,64,Dry clean only
P000133,Function-based zero administration monitoring Mens Clothing,Coastal Chic,Mens Clothing,,,2025-01-23 00:22:13,Unisex,True,2023-11-02,Modal,$50-100,Summer,46,Hand wash
P000134,Right-sized actuating protocol Jewelry,Chic Collection,Jewelry,Accessories,,2023-12-19 23:40:36,Women,True,2025-02-14,Denim,$30-50,Spring,42,Machine wash cold
P000135,Ameliorated actuating solution Running,Trend Tribe 2,Running,Pants,,2023-12-25 22:46:29,Women,True,2024-08-14,Modal,$30-50,Summer,42,Machine wash cold
P000136,Organic homogeneous capability Running,Fashion Forward 2,Running,Accessories,,2024-11-25 02:22:45,Men,True,2024-04-09,Cashmere,$100-150,Summer,76,Machine wash cold
P000137,Phased tangible collaboration Formal,Mode Moderne,Formal,Accessories,,2024-03-04 14:59:56,Men,True,2025-03-18,Viscose,$30-50,Spring,82,Machine wash warm
P000138,Synergized responsive access Accessories,Luxe Label 2,Accessories,Pants,Mens Clothing,2024-05-17 21:30:49,Unisex,True,2024-08-17,Leather,$100-150,Summer,28,Dry clean only
P000139,Switchable bandwidth-monitored protocol Bottoms,Vintage Vibe,Bottoms,Bottoms,,2024-11-04 03:33:47,Men,True,2024-04-22,Viscose,$50-100,Spring,84,Hand wash
P000140,Secured real-time standardization Activewear,Vintage Vibe 3,Activewear,Jewelry,Tops,2024-01-11 13:12:34,Women,True,2024-08-16,Modal,$30-50,Summer,92,Machine wash warm
P000141,Customer-focused multimedia success Jewelry,Coastal Chic,Jewelry,Yoga,Footwear,2025-01-18 19:01:14,Women,True,2023-12-26,Leather,$100-150,Summer,68,Dry clean only
P000142,Horizontal bifurcated toolset Footwear,Mode Moderne,Footwear,,Running,2023-12-18 13:11:42,Women,False,2024-10-16,Leather,$30-50,Winter,98,Hand wash
P000143,Exclusive real-time customer loyalty Jewelry,Vintage Vibe 3,Jewelry,Jewelry,,2025-05-23 06:30:05,Women,True,2024-04-17,Modal,$30-50,Summer,32,Machine wash cold
P000144,Programmable dedicated help-desk Footwear,Urban Thread 3,Footwear,,,2025-03-26 09:18:27,Unisex,True,2024-08-09,Viscose,$100-150,Spring,36,Machine wash cold
P000145,Implemented cohesive analyzer Tops,Elite Edge 3,Tops,Formal,Jewelry,2024-11-25 18:20:35,Men,True,2024-10-15,Silk,$30-50,Winter,44,Machine wash cold
P000146,Expanded system-worthy matrices Womens Clothing,Sunset Styles 2,Womens Clothing,Accessories,Bottoms,2024-06-09 19:11:39,Men,True,2024-03-26,Cotton,$50-100,Fall,12,Hand wash
P000147,Adaptive 24/7 secured line Tops,Vintage Vibe,Tops,Footwear,,2023-12-05 03:25:45,Women,True,2025-08-30,Leather,$50-100,Winter,78,Machine wash cold
P000148,Customizable object-oriented secured line Womens Clothing,Modern Muse,Womens Clothing,Tops,,2024-10-14 19:03:46,Women,True,2024-01-19,Viscose,$50-100,Winter,14,Hand wash
P000149,Cross-group zero-defect migration Pants,Trend Tribe,Pants,Mens Clothing,,2023-11-24 07:17:46,Men,True,2025-04-10,Leather,$30-50,Spring,14,Machine wash warm
P000150,Up-sized bandwidth-monitored extranet Formal,Chic Collection 2,Formal,Formal,,2025-02-08 11:36:16,Women,True,2024-03-23,Linen,$50-100,Winter,0,Hand wash
P000151,Persevering explicit firmware Activewear,Trend Tribe,Activewear,Running,,2024-09-21 15:03:12,Men,True,2023-11-03,Denim,$100-150,Spring,67,Machine wash cold
P000152,Cross-platform context-sensitive analyzer Footwear,Classic Craft 2,Footwear,Jewelry,,2025-07-19 23:21:47,Men,True,2024-05-08,Cotton,$30-50,Fall,100,Machine wash cold
P000153,Multi-lateral systematic functionalities Mens Clothing,Coastal Chic 2,Mens Clothing,,,2024-08-22 21:25:20,Women,True,2025-04-21,Denim,$50-100,Summer,5,Hand wash
P000154,Customizable bandwidth-monitored task-force Accessories,Pure Elegance 2,Accessories,,Running,2025-08-18 12:32:31,Women,True,2023-10-31,Leather,$50-100,Summer,17,Machine wash cold
P000155,Advanced client-driven protocol Footwear,Modern Muse 3,Footwear,Mens Clothing,Mens Clothing,2025-02-10 16:57:10,Unisex,True,2024-02-05,Denim,$50-100,Fall,65,Machine wash warm
