brand_id,brand_name,parent_company,brand_tier,description,website_url,year_established,is_active,created_at
14,Street Smart,,Premium,Perform participant science way debate decision produce. Dream necessary choose impact.,https://george.com/,1955,t,2022-07-24 10:57:04
15,Pure Elegance,,Luxury,"Before while structure. Onto again share start office several compare.
Trouble consider one play man before. Impact fly bit claim in many. Spend nearly lawyer fire follow wife.",https://www.russell.com/,1960,t,2023-04-22 03:05:31
16,Trend Tribe,,Luxury,"Marriage respond meeting event. Woman during necessary himself two meet these.
Significant take future skin environment. Executive fear only.",http://martinez.com/,1998,t,2022-09-13 03:02:25
17,Style Studio,,Premium,"Between treat address century that wide. Light wide full realize.
System teacher here first responsibility service. Along attention piece TV young section its.",http://www.miller.org/,1996,t,2024-06-08 07:47:38
18,Fashion Forward,,Contemporary,"Tree central leave effect effort act source. Quality citizen kid generation onto.
Lead few yourself table blood. Occur offer yeah far within probably. Account ten sing wind treat.",http://www.buchanan.net/,1984,t,2023-08-23 12:07:09
19,Chic Collection,,Premium,Either station loss southern. Sound life away senior difficult put.,https://davis.com/,1959,t,2022-11-14 19:16:50
20,Mode Moderne,"Robinson, Kane and Murphy",Premium,Provide sea watch industry score choice. Pressure street past voice evidence real. Kitchen wear talk between rate.,http://www.garrison-thomas.com/,1981,t,2022-05-23 00:46:58
21,Bella Vista 2,,Contemporary,"Body term capital group. Open administration enter camera inside.
Live sing message board. Develop past road training probably feeling poor.
Your suggest international blue.",http://beasley-gutierrez.info/,2021,t,2023-01-13 11:42:29
22,Urban Thread 2,,Luxury,"Fine fine effort well. Attack story behavior benefit school speech news. What no prove improve them wait institution trouble.
Outside goal official defense prevent.",http://white.com/,1957,t,2022-06-07 16:45:17
23,Coastal Chic 2,Joyce-Brown,Premium,Accept thank not husband center plan. Begin most heavy. Game have return since nothing be apply.,http://saunders.com/,1990,t,2024-08-27 20:25:30
24,Metro Style 2,Bell-Mullen,Premium,"Market issue can. Region matter street south author technology amount.
Tv television office of remember individual boy.
Commercial way least ready gun join.",http://www.thomas.com/,2022,t,2022-02-18 00:18:15
25,Classic Craft 2,,Premium,"Concern significant management senior. Large under north play person ten physical character.
Kind field ever argue medical financial later. Hard expert popular within.",https://www.lucas.info/,2013,t,2023-04-20 02:04:41
26,Modern Muse 2,,Fast Fashion,City health executive impact full our smile positive. Form newspaper hit edge. Their four old center glass whose recognize hot.,http://jenkins.com/,2008,t,2022-12-19 09:42:28
27,Sunset Styles 2,Vang-Brooks,Luxury,Sell six doctor dream whole. Tough create question now key show sing. Month whom stage soon catch economic political. Never bill suffer surface expect several.,http://combs.com/,2021,t,2022-08-17 07:56:39
28,City Casual 2,,Contemporary,Although true line story. Large accept bad eight strong nature road.,http://ashley.net/,2004,t,2024-02-07 15:49:29
29,Elite Edge 2,,Contemporary,After them analysis hit health section ground. General run pick sign. Card good full poor store range.,https://paul-kline.biz/,1978,t,2024-01-30 22:35:34
30,Vintage Vibe 2,Reyes-Bradley,Luxury,"Reality happen something entire bar interesting issue. Nation fly bag produce.
Owner international ready goal amount thank good. Ever woman way avoid point guy.",http://watson-hines.org/,2013,t,2022-03-06 23:13:03
31,Fresh Fashion 2,,Contemporary,Huge power economic box save material. Trial brother simple region Democrat partner. Customer career available common require young specific.,https://www.henson.info/,1969,t,2021-04-28 04:39:42
32,Bold Basics 2,,Luxury,Statement available win politics last quite. Campaign stop necessary onto should can. Treat area buy check clearly follow remember.,https://www.butler.net/,2004,t,2022-12-21 22:22:14
33,Luxe Label 2,,Luxury,"Each southern image law read citizen indeed. Daughter parent fine responsibility safe team wish.
Middle blood drop business last cell. Face his past.",http://www.wagner-levy.com/,2009,t,2021-12-20 06:45:29
34,Street Smart 2,,Value,Anything manager think. Experience account blue care enough hand idea. Hundred now crime.,http://flores.com/,1951,t,2023-03-21 11:39:39
35,Pure Elegance 2,"Becker, Lara and Baker",Value,"Stock mother remember feel staff happy purpose. On someone rise read ago listen. Officer return on color pick people subject challenge.
Occur red course. Finish charge real improve simple turn.",https://www.ramirez.com/,2018,t,2023-04-06 14:40:32
36,Trend Tribe 2,,Fast Fashion,"Real major look night various. Explain of myself time house.
Fact explain research get. Pretty section degree still even no. Case past only drug prove.",http://www.butler.com/,1993,t,2022-01-01 14:53:28
37,Style Studio 2,,Premium,Control see the face also fear owner. Expect writer myself management voice surface. Evening speak former room possible responsibility add.,http://ward.info/,2008,t,2024-04-17 06:55:51
38,Fashion Forward 2,,Luxury,Rather type thousand show real police. Happen determine whatever long lawyer.,https://www.griffin.biz/,1972,f,2022-01-15 21:35:08
39,Chic Collection 2,Patel-Morrow,Contemporary,"Next pull final against. Staff second official and general. Must art thus worry.
Expert conference career. Hear through large true help bag. Card team budget year hotel camera without.",http://moore-lopez.com/,1988,t,2022-09-05 21:41:51
40,Mode Moderne 2,,Premium,She this administration deal beyond almost our reflect. Each analysis keep. Describe tell argue mean eye staff rule.,https://evans.net/,1975,t,2020-11-15 08:09:52
41,Bella Vista 3,,Luxury,"Feeling remain south trip none. Newspaper care drug data position two.
Movie stop appear help. Owner them could seven right next look thank. Field training deep couple scientist section.",http://www.thomas.org/,2019,t,2022-10-01 21:04:38
42,Urban Thread 3,,Premium,Charge form here street material. Either start whom politics make collection. College result major true my politics.,https://smith.biz/,1950,t,2023-10-19 19:00:24
43,Coastal Chic 3,,Luxury,"Reveal movie expert maybe recently issue vote.
Truth modern drive people. Spring environment however health image.
Wrong difficult range summer president. Behavior here need. Pm reflect bar suddenly.",https://www.allen.net/,1964,t,2020-10-14 16:51:08
44,Metro Style 3,,Value,So ready bad seat. Approach join stuff future shoulder western. Why for plant situation late direction.,http://www.jordan.net/,1989,t,2022-02-23 14:48:03
45,Classic Craft 3,Jordan-Colon,Premium,Ago government behavior our. Tell activity including single right nice. Occur college herself catch feeling.,http://morrison-dominguez.info/,2022,t,2022-12-01 08:11:44
46,Modern Muse 3,"Williams, Terrell and Byrd",Contemporary,"Why fact reason make office drug. Exactly skill half usually customer young.
Agree road wall decide something story attorney. Pull cause field education child institution.",https://rodriguez-garcia.com/,2012,t,2022-01-27 08:37:04
47,Sunset Styles 3,,Premium,Oil offer knowledge hospital sign open matter. Young lot far turn beat story. Give gas six miss.,http://www.sandoval.com/,2018,t,2022-11-28 14:24:22
48,City Casual 3,"Simpson, Cohen and Perry",Contemporary,Home relate day sell speak artist. Son Mr hand culture. Energy television month police. Home hotel box goal leader common purpose song.,https://miller.com/,2010,t,2022-08-25 16:23:14
49,Elite Edge 3,"Carter, Armstrong and Farley",Contemporary,"Different eye sit not significant.
Member of environmental myself yard my series. National wrong bill stop seem fear. Last give stage.",http://www.sellers-riddle.com/,2017,t,2021-12-24 00:55:02
50,Vintage Vibe 3,,Luxury,"Chair focus easy such hotel. Officer environmental increase later.
Middle everything view hard wear force. Than suggest behavior.",http://www.alexander.biz/,1977,t,2023-09-20 22:05:32
