product_id,product_name,brand,category_l1,category_l2,category_l3,gender_target,season,material,care_instructions,sustainability_score,price_range,launch_date,is_active,created_at
P000125,Balanced exuding frame Jewelry,Trend Tribe,Jewelry,Formal,Pants,Men,Fall,Silk,Dry clean only,99,$30-50,2025-04-13,t,2024-09-15 03:22:42
P000126,Programmable radical moderator Formal,Classic Craft,Formal,Formal,,Women,Fall,Denim,Dry clean only,93,$50-100,2024-08-27,f,2024-06-15 09:59:59
P000127,Synergized client-driven Graphical User Interface Bottoms,Trend Tribe,Bottoms,Mens Clothing,Tops,Men,Summer,Polyester,Machine wash warm,98,$50-100,2024-10-10,t,2025-08-27 03:18:27
P000128,Multi-channeled web-enabled core Activewear,Vintage Vibe 2,Activewear,,,Men,All Season,Modal,Hand wash,41,$150-200,2025-08-30,f,2024-02-02 01:56:50
P000129,Open-architected 3rdgeneration emulation Footwear,Vintage Vibe,Footwear,Footwear,,Men,Spring,Modal,Machine wash cold,45,$50-100,2025-04-12,t,2024-03-19 05:56:57
P000130,De-engineered didactic superstructure Footwear,Mode Moderne,Footwear,Womens Clothing,,Men,All Season,Polyester,Machine wash warm,76,$30-50,2024-12-27,t,2023-10-14 00:47:20
P000131,Profit-focused composite capability Activewear,Vintage Vibe 2,Activewear,Yoga,,Women,Summer,Modal,Machine wash warm,41,$30-50,2025-03-31,t,2024-07-07 18:03:21
P000132,Streamlined 5thgeneration implementation Tops,Luxe Label 2,Tops,,,Women,Spring,Denim,Dry clean only,64,$150-200,2025-02-04,t,2025-08-07 20:15:47
P000133,Function-based zero administration monitoring Mens Clothing,Coastal Chic,Mens Clothing,,,Unisex,Summer,Modal,Hand wash,46,$50-100,2023-11-02,t,2025-01-23 00:22:13
P000134,Right-sized actuating protocol Jewelry,Chic Collection,Jewelry,Accessories,,Women,Spring,Denim,Machine wash cold,42,$30-50,2025-02-14,t,2023-12-19 23:40:36
P000135,Ameliorated actuating solution Running,Trend Tribe 2,Running,Pants,,Women,Summer,Modal,Machine wash cold,42,$30-50,2024-08-14,t,2023-12-25 22:46:29
P000136,Organic homogeneous capability Running,Fashion Forward 2,Running,Accessories,,Men,Summer,Cashmere,Machine wash cold,76,$100-150,2024-04-09,t,2024-11-25 02:22:45
P000137,Phased tangible collaboration Formal,Mode Moderne,Formal,Accessories,,Men,Spring,Viscose,Machine wash warm,82,$30-50,2025-03-18,t,2024-03-04 14:59:56
P000138,Synergized responsive access Accessories,Luxe Label 2,Accessories,Pants,Mens Clothing,Unisex,Summer,Leather,Dry clean only,28,$100-150,2024-08-17,t,2024-05-17 21:30:49
P000139,Switchable bandwidth-monitored protocol Bottoms,Vintage Vibe,Bottoms,Bottoms,,Men,Spring,Viscose,Hand wash,84,$50-100,2024-04-22,t,2024-11-04 03:33:47
P000140,Secured real-time standardization Activewear,Vintage Vibe 3,Activewear,Jewelry,Tops,Women,Summer,Modal,Machine wash warm,92,$30-50,2024-08-16,t,2024-01-11 13:12:34
P000141,Customer-focused multimedia success Jewelry,Coastal Chic,Jewelry,Yoga,Footwear,Women,Summer,Leather,Dry clean only,68,$100-150,2023-12-26,t,2025-01-18 19:01:14
P000142,Horizontal bifurcated toolset Footwear,Mode Moderne,Footwear,,Running,Women,Winter,Leather,Hand wash,98,$30-50,2024-10-16,f,2023-12-18 13:11:42
P000143,Exclusive real-time customer loyalty Jewelry,Vintage Vibe 3,Jewelry,Jewelry,,Women,Summer,Modal,Machine wash cold,32,$30-50,2024-04-17,t,2025-05-23 06:30:05
P000144,Programmable dedicated help-desk Footwear,Urban Thread 3,Footwear,,,Unisex,Spring,Viscose,Machine wash cold,36,$100-150,2024-08-09,t,2025-03-26 09:18:27
P000145,Implemented cohesive analyzer Tops,Elite Edge 3,Tops,Formal,Jewelry,Men,Winter,Silk,Machine wash cold,44,$30-50,2024-10-15,t,2024-11-25 18:20:35
P000146,Expanded system-worthy matrices Womens Clothing,Sunset Styles 2,Womens Clothing,Accessories,Bottoms,Men,Fall,Cotton,Hand wash,12,$50-100,2024-03-26,t,2024-06-09 19:11:39
P000147,Adaptive 24/7 secured line Tops,Vintage Vibe,Tops,Footwear,,Women,Winter,Leather,Machine wash cold,78,$50-100,2025-08-30,t,2023-12-05 03:25:45
P000148,Customizable object-oriented secured line Womens Clothing,Modern Muse,Womens Clothing,Tops,,Women,Winter,Viscose,Hand wash,14,$50-100,2024-01-19,t,2024-10-14 19:03:46
P000149,Cross-group zero-defect migration Pants,Trend Tribe,Pants,Mens Clothing,,Men,Spring,Leather,Machine wash warm,14,$30-50,2025-04-10,t,2023-11-24 07:17:46
P000150,Up-sized bandwidth-monitored extranet Formal,Chic Collection 2,Formal,Formal,,Women,Winter,Linen,Hand wash,0,$50-100,2024-03-23,t,2025-02-08 11:36:16
P000151,Persevering explicit firmware Activewear,Trend Tribe,Activewear,Running,,Men,Spring,Denim,Machine wash cold,67,$100-150,2023-11-03,t,2024-09-21 15:03:12
P000152,Cross-platform context-sensitive analyzer Footwear,Classic Craft 2,Footwear,Jewelry,,Men,Fall,Cotton,Machine wash cold,100,$30-50,2024-05-08,t,2025-07-19 23:21:47
P000153,Multi-lateral systematic functionalities Mens Clothing,Coastal Chic 2,Mens Clothing,,,Women,Summer,Denim,Hand wash,5,$50-100,2025-04-21,t,2024-08-22 21:25:20
P000154,Customizable bandwidth-monitored task-force Accessories,Pure Elegance 2,Accessories,,Running,Women,Summer,Leather,Machine wash cold,17,$50-100,2023-10-31,t,2025-08-18 12:32:31
P000155,Advanced client-driven protocol Footwear,Modern Muse 3,Footwear,Mens Clothing,Mens Clothing,Unisex,Fall,Denim,Machine wash warm,65,$50-100,2024-02-05,t,2025-02-10 16:57:10
